fips,rate
26037,280.47
26039,265.54
26041,340.20
26043,340.20
26045,280.47
26047,249.65
26049,248.99
26051,250.33
26053,340.20
26055,249.65
26057,250.33
26059,280.47
26061,340.20
26063,250.33
26065,280.47
26067,221.63
26069,265.54
26071,340.20
26073,250.33
26075,280.47
26077,283.68
26079,249.65
26081,221.63
26083,340.20
26085,221.63
26087,248.99
26089,249.65
26091,269.00
26093,269.00
26095,340.20
26097,265.54
26099,228.38
26101,249.65
26103,340.20
26105,221.63
26107,221.63
26109,340.20
26111,250.33
26113,249.65
26115,223.86
26117,221.63
26119,265.54
26121,221.63
26123,221.63
26125,228.38
26127,221.63
26129,265.54
26131,340.20
26133,221.63
26135,265.54
26137,265.54
26139,221.63
26141,265.54
26143,265.54
26145,250.33
26147,261.21
26149,286.08
26151,250.33
26153,340.20
26155,248.99
26157,250.33
26159,286.08
26161,269.00
26163,223.86
26165,249.65
27001,
27003,
27005,
27007,
27009,
27011,
27013,
27015,
27017,
27019,
27021,
27023,
27025,
27027,
27029,
27031,
27033,
27035,
27037,
27039,
27041,
27043,
27045,
27047,
27049,
27051,
27053,
27055,
27057,
27059,
27061,
27063,
27065,
27067,
27069,
27071,
27073,
27075,
27077,
27079,
27081,
27083,
27085,
27087,
27089,
27091,
27093,
27095,
27097,
27099,
27101,
27103,
27105,
27107,
27109,
27111,
27113,
27115,
27117,
27119,
27121,
27123,
27125,
27127,
27129,
27131,
27133,
27135,
27137,
27139,
27141,
27143,
27145,
27147,
27149,
27151,
27153,
27155,
27157,
27159,
27161,
27163,
27165,
27167,
27169,
27171,
27173,
28001,265.73
28003,265.73
28005,265.73
28007,265.73
28009,285.69
28011,265.73
28013,265.73
28015,265.73
28017,265.73
28019,265.73
28021,265.73
28023,265.73
28025,265.73
28027,265.73
28029,297.21
28031,265.73
28033,265.62
28035,315.35
28037,265.73
28039,300.96
28041,315.35
28043,265.73
28045,300.96
28047,300.96
28049,297.21
28051,265.73
28053,265.73
28055,265.73
28057,285.69
28059,300.96
28061,265.73
28063,265.73
28065,265.73
28067,315.35
28069,265.73
28071,265.73
28073,315.35
28075,265.73
28077,265.73
28079,265.73
28081,285.69
28083,265.73
28085,265.73
28087,265.73
28089,297.21
28091,265.73
28093,265.62
28095,265.73
28097,265.73
28099,265.73
28101,265.73
28103,265.73
28105,265.73
28107,265.73
28109,315.35
28111,315.35
28113,265.73
28115,285.69
28117,265.73
28119,265.73
28121,297.21
28123,265.73
28125,265.73
28127,297.21
28129,265.73
28131,300.96
28133,265.73
28135,265.73
28137,265.62
28139,285.69
28141,265.73
28143,265.62
28145,285.69
28147,265.73
28149,297.21
28151,265.73
28153,265.73
28155,265.73
28157,265.73
